Symbol,Company,Industry,Market Cap
ARYE,Arya Sciences Acquisition V,Blank Check / SPAC,188.03M
ASA,ASA Gold And Precious Metals,Capital Markets,409.52M
ASAI,Sendas Distribuidora,Food & Staples Retailing,6.58B
ASAN,Asana,Software,18.63B
ASAQ,Atlantic Street Acquisition,Blank Check / SPAC,306.56M
ASAX,Astrea Acquisition,Blank Check / SPAC,218.83M
ASB,Associated Banc-Corp,Banks,3.58B
ASC,Ardmore Shipping,"Oil, Gas & Consumable Fuels",132.99M
ASGN,ASGN Incorporated,Professional Services,6.66B
ASH,Ashland,Chemicals,6.54B
ASIX,AdvanSix,Chemicals,1.38B
ASLE,AerSale,Airports & Air Services,780.48M
ASLN,ASLAN Pharmaceuticals,Biotechnology,101.64M
ASM,Avino Silver & Gold Mines,Metals & Mining,94.51M
ASMB,Assembly Biosciences,Biotechnology,106.97M
ASML,ASML Holding,Semiconductors & Semiconductor Equipment,332.72B
ASND,Ascendis Pharma A/S,Biotechnology,7.74B
ASO,Academy Sports and Outdoors,Specialty Retail,4.13B
ASPA,Abri SPAC I,Blank Check / SPAC,64.28M
ASPC,Alpha Capital Acquisition,Blank Check / SPAC,283.47M
ASPN,Aspen Aerogels,Energy Equipment & Services,2.07B
ASPS,Altisource Portfolio Solutions,Real Estate Management & Development,182.58M
ASPU,Aspen Group,Diversified Consumer Services,79.48M
ASR,Grupo Aeroportuario del Sureste,Transportation Infrastructure,5.81B
ASRT,Assertio Holdings,Pharmaceuticals,55.35M
ASRV,AmeriServ Financial,Banks,66.62M
ASTC,Astrotech,Aerospace & Defense,39.71M
ASTE,Astec Industries,Machinery,1.60B
ASTL,Algoma Steel Group,Steel,772.94M
ASTR,Astra Space,Aerospace & Defense,2.67B
ASTS,AST SpaceMobile,Telecom Services,538.76M
ASUR,Asure Software,Software,170.53M
ASX,ASE Technology,Semiconductors & Semiconductor Equipment,16.32B
ASXC,Asensus Surgical,Medical Devices,343.38M
ASYS,Amtech Systems,Semiconductors & Semiconductor Equipment,146.24M
