Symbol,Company,Industry,Market Cap
ASZ,Austerlitz Acquisition II,Blank Check / SPAC,1.94B
ATA,Americas Technology Acquisition,Blank Check / SPAC,146.38M
ATAI,ATAI Life Sciences,Biotechnology,1.74B
ATAQ,Altimar Acquisition III,Blank Check / SPAC,190.96M
ATAX,America First Multifamily Investors,Thrifts & Mortgage Finance,437.85M
ATC,Atotech,Electronic Components,4.80B
ATCO,Atlas Corp.,Marine,3.46B
ATCX,Atlas Technical Consultants,Engineering & Construction,329.03M
ATEC,Alphatec Holdings,Health Care Equipment & Supplies,1.07B
ATEN,A10 Networks,Software,1.23B
ATER,Aterian,Consumer Electronics,266.89M
ATEX,Anterix,Wireless Telecommunication Services,1.14B
ATGE,Adtalem Global Education,Diversified Consumer Services,1.53B
ATH,Athene Holding,Insurance,16.45B
ATHA,Athira Pharma,Biotechnology,539.72M
ATHE,Alterity Therapeutics,Biotechnology,44.07M
ATHM,Autohome,Interactive Media & Services,4.61B
ATHN,Athena Technology Acquisition,Blank Check / SPAC,342.56M
ATHX,Athersys,Biotechnology,231.91M
ATI,Allegheny Technologies,Metals & Mining,2.05B
ATIF,ATIF Holdings,Professional Services,32.29M
ATIP,ATI Physical Therapy,Medical Care Facilities,681.67M
ATKR,Atkore,Electrical Equipment,5.12B
ATLC,Atlanticus Holdings,Consumer Finance,1.08B
ATLO,Ames National,Banks,224.93M
ATMR,Altimar Acquisition II,Blank Check / SPAC,428.23M
ATNF,180 Life Sciences,Biotechnology,133.92M
ATNI,ATN International,Diversified Telecommunication Services,685.17M
ATNM,Actinium Pharmaceuticals,Biotechnology,160.16M
ATNX,Athenex,Biotechnology,196.23M
ATO,Atmos Energy,Gas Utilities,12.61B
ATOM,Atomera,Semiconductors & Semiconductor Equipment,542.59M
ATOS,Atossa Therapeutics,Health Care Equipment & Supplies,284.27M
ATR,AptarGroup,Containers & Packaging,8.55B
ATRA,Atara Biotherapeutics,Biotechnology,1.55B
ATRC,AtriCure,Health Care Equipment & Supplies,3.39B
ATRI,Atrion Corporation,Health Care Equipment & Supplies,1.35B
ATRO,Astronics Corporation,Aerospace & Defense,389.07M
ATRS,Antares Pharma,Health Care Equipment & Supplies,577.29M
ATSG,Air Transport Services Group,Air Freight & Logistics,2.09B
ATTO,Atento,Commercial Services & Supplies,369.30M
ATUS,Altice USA,Media,7.68B
ATVC,Tribe Capital Growth I,Blank Check / SPAC,338.45M
ATVI,Activision Blizzard,Entertainment,48.51B
ATXI,Avenue Therapeutics,Pharmaceuticals,21.72M
ATXS,Astria Therapeutics,Biotechnology,84.30M
ATY,AcuityAds,Interactive Media & Services,223.46M
AU,AngloGold Ashanti,Metals & Mining,8.35B
AUB,Atlantic Union Bankshares,Banks,2.76B
AUBN,Auburn National Bancorporation,Banks,117.68M
AUD,Audacy,Media,394.69M
AUDC,AudioCodes,Communications Equipment,1.13B
AUID,Ipsidy,Software-Infrastructure,340.83M
AUMN,Golden Minerals,Metals & Mining,67.68M
AUPH,Aurinia Pharmaceuticals,Biotechnology,2.48B
AUR,Aurora Innovation,Information Technology Services,13.29B
AURA,Aura Biosciences,Biotechnology,516.63M
AURC,Aurora Acquisition,Blank Check / SPAC,345.56M
AUS,Austerlitz Acquisition I,Blank Check / SPAC,972.90M
AUTL,Autolus Therapeutics,Biotechnology,451.37M
AUTO,AutoWeb,Interactive Media & Services,41.66M
AUUD,Auddia,Software-Application,23.96M
AUVI,Applied UV,Building Products,45.71M
AUY,Yamana Gold,Metals & Mining,3.94B
AVA,Avista,Multi-Utilities,2.80B
AVAH,Aveanna Healthcare Holdings,Medical Care Facilities,1.33B
AVAL,Grupo Aval Acciones y Valores,Banks,5.77B
AVAN,Avanti Acquisition,Blank Check / SPAC,738.00M
AVAV,AeroVironment,Aerospace & Defense,2.13B
AVB,AvalonBay Communities,"Equity Real Estate 
Investment Trusts...",33.67B
AVCO,Avalon GloboCare,Health Care Providers & Services,78.58M
AVCT,American Virtual Cloud Technologies,IT Services,108.41M
AVD,American Vanguard,Chemicals,483.18M
AVDL,Avadel Pharmaceuticals,Pharmaceuticals,562.17M
AVDX,AvidXchange,Biotechnology,4.33B
AVEO,AVEO Pharmaceuticals,Biotechnology,217.59M
AVGO,Broadcom,Semiconductors & Semiconductor Equipment,226.46B
AVGR,Avinger,Health Care Equipment & Supplies,59.91M
AVID,Avid Technology,"Technology Hardware, Storage & Periph...",1.54B
AVIR,Atea Pharmaceuticals,Pharmaceuticals,631.58M
AVLR,Avalara,Software,12.30B
AVNS,Avanos Medical,Health Care Equipment & Supplies,1.57B
AVNT,Avient,Chemicals,5.49B
AVNW,Aviat Networks,Communications Equipment,345.62M
AVO,Mission Produce,Farm Products,1.38B
AVPT,AvePoint,Software-Infrastructure,1.24B
AVRO,Avrobio,Biotechnology,188.80M
AVT,Avnet,"Electronic Equipment, Instruments & C...",3.91B
AVTE,Aerovate Therapeutics,Biotechnology,350.29M
AVTR,Avantor,Life Sciences Tools & Services,23.73B
AVTX,Avalo Therapeutics,Biotechnology,243.17M
AVXL,Anavex Life Sciences,Biotechnology,1.36B
AVY,Avery Dennison,Containers & Packaging,18.23B
AVYA,Avaya Holdings,Software,1.74B
AWH,Aspira Women's Health,Health Care Equipment & Supplies,229.86M
AWI,Armstrong World Industries,Building Products,5.36B
AWK,American Water Works,Water Utilities,31.60B
AWR,American States Water,Water Utilities,3.53B
AWRE,Aware,Software,65.07M
AWX,Avalon Holdings,Commercial Services & Supplies,16.80M
AX,Axos Financial,Thrifts & Mortgage Finance,3.69B
AXDX,Accelerate Diagnostics,Life Sciences Tools & Services,350.00M
AXGN,Axogen,Health Care Equipment & Supplies,437.24M
AXL,American Axle & Manufacturing,Auto Components,1.12B
AXLA,Axcella Health,Biotechnology,114.03M
AXNX,Axonics,Health Care Equipment & Supplies,2.71B
AXON,Axon Enterprise,Aerospace & Defense,11.24B
AXP,American Express,Consumer Finance,133.67B
AXR,AMREP Corporation,Commercial Services & Supplies,99.04M
AXS,AXIS Capital Holdings,Insurance,4.52B
AXSM,Axsome Therapeutics,Pharmaceuticals,1.40B
AXTA,Axalta Coating Systems,Chemicals,7.56B
AXTI,AXT Inc.,Semiconductors & Semiconductor Equipment,367.83M
AXU,Alexco Resource,Commercial Services & Supplies,312.68M
AY,Atlantica Sustainable Infrastructure,Independent Power and Renewable Elect...,4.37B
AYI,Acuity Brands,Electrical Equipment,7.58B
AYLA,Ayala Pharmaceuticals,Biotechnology,128.32M
AYRO,"AYRO, Inc.",Auto Manufacturers,82.97M
AYTU,Aytu BioPharma,Pharmaceuticals,51.53M
AYX,Alteryx,Software,4.09B
AZEK,AZEK Company,Building Products,6.35B
AZN,AstraZeneca,Pharmaceuticals,174.91B
AZO,AutoZone,Specialty Retail,38.99B
AZPN,Aspen Technology,Software,10.45B
AZRE,Azure Power Global,Independent Power and Renewable Elect...,1.06B
AZUL,Azul S.A.,Airlines,1.63B
AZYO,Aziyo Biologics,Medical Devices,54.87M
AZZ,AZZ Inc.,Electrical Equipment,1.40B
B,Barnes Group,Machinery,2.35B
BA,Boeing,Aerospace & Defense,122.95B
BABA,Alibaba Group,Internet & Direct Marketing Retail,407.15B
BAC,Bank of America ,Banks,387.52B
BACA,Berenson Acquisition I,Blank Check / SPAC,303.44M
BAH,Booz Allen Hamilton,IT Services,12.06B
BAK,Braskem,Chemicals,6.96B
BALY,Bally's Corporation,"Hotels, Restaurants & Leisure",2.24B
BAM,Brookfield Asset Management,Capital Markets,90.94B
BANC,Banc of California,Banks,1.34B
BAND,Bandwidth,Diversified Telecommunication Services,1.63B
BANF,BancFirst Corporation,Banks,2.21B
BANR,Banner Corporation,Banks,2.15B
BANX,StoneCastle Financial,Capital Markets,153.06M
BAOS,Baosheng Media Group,Advertising Agencies,39.79M
BAP,Credicorp,Banks,9.55B
BARK,The Original BARK Company,Specialty Retail,862.14M
BASE,Couchbase,Software-Infrastructure,1.46B
BATL,Battalion Oil,"Oil, Gas & Consumable Fuels",196.91M
BAX,Baxter International,Health Care Equipment & Supplies,39.18B
BB,BlackBerry,Software,5.70B
BBAR,Banco BBVA Argentina,Banks,622.87M
BBBY,Bed Bath & Beyond,Specialty Retail,2.24B
BBCP,Concrete Pumping Holdings,Construction & Engineering,503.69M
BBD,Banco Bradesco,Banks,34.54B
BBDC,Barings BDC,Capital Markets,721.09M
BBGI,Beasley Broadcast Group,Media,63.35M
BBI,Brickell Biotech,Biotechnology,36.46M
BBIG,Vinco Ventures,Leisure,380.66M
BBIO,BridgeBio Pharma,Biotechnology,5.92B
BBL,BHP Group,Metals & Mining,136.35B
BBLG,Bone Biologics,Medical Devices,41.82M
BBLN,Babylon Holdings,Health Information Services,3.23B
BBQ,BBQ Holdings,"Hotels, Restaurants & Leisure",141.47M
BBSI,Barrett Business Services,Professional Services,571.20M
BBU,Brookfield Business Partners,Construction & Engineering,3.74B
BBVA,Banco Bilbao Vizcaya Argentaria,Banks,39.68B
BBW,Build-A-Bear Workshop,Specialty Retail,300.92M
BBWI,Bath & Body Works,Specialty Retail,19.75B
BBY,Best Buy,Specialty Retail,28.98B
BC,Brunswick,Leisure Products,7.74B
BCAB,BioAtla,Biotechnology,892.53M
BCAC,Brookline Capital Acquisition,Blank Check / SPAC,74.20M
BCBP,BCB Bancorp,Banks,261.97M
BCC,Boise Cascade,Paper & Forest Products,2.88B
BCDA,BioCardia,Biotechnology,35.09M
BCE,"BCE, Inc.",Diversified Telecommunication Services,46.61B
BCEL,Atreca,Biotechnology,174.42M
BCH,Banco de Chile,Banks,10.49B
BCLI,Brainstorm Cell Therapeutics,Biotechnology,111.01M
BCML,BayCom,Banks,206.81M
BCO,Brink's Company,Commercial Services & Supplies,3.22B
BCOR,Blucora,Capital Markets,849.17M
BCOV,Brightcove,IT Services,397.97M
BCOW,1895 Bancorp of Wisconsin,Thrifts & Mortgage Finance,70.15M
BCPC,Balchem Corporation,Chemicals,5.60B
BCRX,BioCryst Pharmaceuticals,Biotechnology,2.24B
BCS,Barclays,Banks,44.38B
BCSF,Bain Capital,Capital Markets,997.49M
BCTX,BriaCell Therapeutics,Biotechnology,155.07M
BCYC,Bicycle Therapeutics,Biotechnology,1.62B
BDC,Belden,"Electronic Equipment, Instruments & C...",3.00B
BDL,Flanigan's Enterprises,"Hotels, Restaurants & Leisure",62.67M
BDN,Brandywine Realty Trust,"Equity Real Estate 
Investment Trusts...",2.47B
BDR,Blonder Tongue Laboratories,Communications Equipment,12.67M
BDSI,BioDelivery Sciences,Pharmaceuticals,298.36M
BDSX,Biodesix,Diagnostics & Research,156.97M
BDTX,Black Diamond Therapeutics,Biotechnology,244.91M
BDX,"Becton, Dickinson",Health Care Equipment & Supplies,70.38B
BE,Bloom Energy,Electrical Equipment,5.03B
BEAM,Beam Therapeutics,Beverages,5.54B
BEAT,HeartBeam,Health Information Services,32.11M
BECN,Beacon Roofing Supply,Trading Companies & Distributors,3.81B
BEDU,Bright Scholar Education,Diversified Consumer Services,230.18M
BEEM,Beam Global,Electrical Equipment,249.69M
BEKE,KE Holdings,Real Estate Management & Development,25.15B
BELFA,Bel Fuse,Electronic Components,163.39M
BELFB,Bel Fuse,"Electronic Equipment, Instruments & C...",164.06M
BEN,Franklin Resources,Capital Markets,17.20B
BENE,Benessere Capital Acquisition,Blank Check / SPAC,151.32M
BEP,Brookfield Renewable Partners,Independent Power and Renewable Elect...,10.10B
BEPC,Brookfield Renewable Corporation,Independent Power and Renewable Elect...,6.52B
BERY,Berry Global Group,Containers & Packaging,8.94B
BEST,BEST Inc.,Air Freight & Logistics,413.86M
BF.A,Brown-Forman,Beverages,35.10B
BF.B,Brown-Forman,Beverages,34.83B
BFAM,Bright Horizons Family Solutions,Diversified Consumer Services,7.44B
BFC,Bank First,Banks,543.55M
BFI,BurgerFi International,Restaurants,154.16M
BFIN,BankFinancial Corporation,Banks,147.42M
BFLY,Butterfly Network,Medical Devices,1.51B
BFRA,Biofrontera AG,Biotechnology,115.70M
BFRI,Biofrontera,Drug Manufacturers-Specialty & Generic,27.81M
BFS,Saul Centers,"Equity Real Estate 
Investment Trusts...",1.27B
BFST,Business First Bancshares,Banks,580.88M
BG,Bunge,Food Products,13.22B
BGCP,BGC Partners,Capital Markets,1.75B
BGFV,Big 5 Sporting Goods,Specialty Retail,584.77M
BGI,Birks Group,Specialty Retail,79.73M
BGNE,BeiGene,Biotechnology,32.37B
BGRY,Berkshire Grey,Specialty Industrial Machinery,1.38B
BGS,B&G Foods,Food Products,2.00B
BGSF,BG Staffing,Professional Services,150.98M
BGSX,Build Acquisition,Blank Check / SPAC,245.00M
BH,Biglari Holdings,"Hotels, Restaurants & Leisure",449.06M
BH.A,Biglari Holdings,Restaurants,460.38M
BHAT,Blue Hat Interactive,Entertainment,30.06M
BHB,Bar Harbor Bankshares,Banks,456.78M
BHC,Bausch Health Companies,Pharmaceuticals,9.38B
BHE,Benchmark Electronics,"Electronic Equipment, Instruments & C...",908.08M
BHF,Brighthouse Financial,Insurance,4.28B
BHG,Bright Health Group,Healthcare Plans,2.40B
BHIL,Benson Hill,Agricultural Inputs,1.12B
BHLB,Berkshire Hills Bancorp,Banks,1.39B
BHP,BHP Group,Metals & Mining,140.62B
BHR,Braemar Hotels & Resorts,"Equity Real Estate 
Investment Trusts...",316.71M
BHSE,Bull Horn Holdings,Blank Check / SPAC,93.66M
BHTG,BioHiTech Global,Commercial Services & Supplies,25.43M
BHVN,Biohaven Pharmaceutical,Biotechnology,7.02B
BIDU,"Baidu, Inc",Interactive Media & Services,54.51B
BIG,Big Lots,Multiline Retail,1.53B
BIGC,BigCommerce,IT Services,3.43B
BIIB,Biogen,Biotechnology,37.07B
BILI,Bilibili,Entertainment,26.74B
BILL,Bill.com,Software,29.78B
BIMI,BIMI International Medical,Machinery,27.08M
BIO,Bio-Rad Laboratories,Life Sciences Tools & Services,21.91B
BIOC,Biocept,Biotechnology,50.35M
BIOL,"BIOLASE, Inc.",Health Care Equipment & Supplies,65.93M
BIOT,Biotech Acquisition,Blank Check / SPAC,284.63M
BIOX,Bioceres Crop Solutions,Food Products,606.70M
BIP,Brookfield Infrastructure Partners,Multi-Utilities,16.87B
BIPC,Brookfield Infrastructure,Gas Utilities,3.72B
BIRD,Allbirds,Apparel Retail,2.78B
BITE,Bite Acquisition,Blank Check / SPAC,250.25M
BITF,Bitfarms,Capital Markets,1.34B
BIVI,BioVie,Biotechnology,142.78M
BJ,BJ's Wholesale Club,Food & Staples Retailing,9.49B
BJDX,Bluejay Diagnostics,Medical Devices,35.58M
BJRI,BJ's Restaurants,"Hotels, Restaurants & Leisure",788.36M
BK,Bank of New York Mellon,Capital Markets,48.65B
BKCC,BlackRock Capital Investment,Capital Markets,316.96M
BKD,Brookdale Senior Living,Health Care Providers & Services,1.19B
BKE,The Buckle,Specialty Retail,2.58B
BKEP,BlueKnight Energy Partners,"Oil, Gas & Consumable Fuels",137.84M
BKH,Black Hills,Multi-Utilities,4.27B
BKI,Black Knight,IT Services,11.32B
BKKT,Bakkt Holdings,Software-Infrastructure,898.45M
BKNG,Booking Holdings,Internet & Direct Marketing Retail,95.59B
BKR,Baker Hughes,Energy Equipment & Services,20.55B
BKSC,Bank of South Carolina,Banks,113.78M
BKSY,BlackSky Technology,Scientific & Technical Instruments,964.92M
BKTI,BK Technologies,Communications Equipment,37.50M
BKU,BankUnited,Banks,3.84B
BKYI,BIO-key International,Software,20.27M
BL,BlackLine,Software,6.64B
BLBD,Blue Bird,Machinery,632.37M
BLBX,Blackboxstocks Inc,Software-Application,39.42M
BLCM,Bellicum Pharmaceuticals,Biotechnology,14.23M
BLCT,BlueCity Holdings,Internet Content & Information,88.89M
BLD,TopBuild,Household Durables,9.19B
BLDE,Blade Air Mobility,Airports & Air Services,591.52M
BLDP,Ballard Power Systems,Electrical Equipment,4.65B
BLDR,Builders FirstSource,Building Products,13.90B
BLFS,BioLife Solutions,Health Care Equipment & Supplies,1.85B
BLFY,Blue Foundry Bancorp,Banks-Regional,429.32M
BLI,Berkeley Lights,Life Sciences Tools & Services,1.46B
BLIN,Bridgeline Digital,Software,23.54M
BLK,BlackRock,Capital Markets,140.78B
BLKB,Blackbaud,Software,3.87B
BLL,Ball Corporation,Containers & Packaging,30.52B
BLMN,Bloomin' Brands,"Hotels, Restaurants & Leisure",1.74B
BLND,Blend Labs,Software-Application,2.46B
BLNG,Belong Acquisition,Blank Check / SPAC,195.00M
BLNK,Blink Charging,Specialty Retail,1.63B
BLPH,Bellerophon Therapeutics,Health Care Equipment & Supplies,30.58M
BLRX,BioLineRx,Biotechnology,129.95M
BLSA,BCLS Acquisition,Blank Check / SPAC,187.54M
BLTS,Bright Lights Acquisition,Blank Check / SPAC,287.36M
BLU,BELLUS Health,Biotechnology,463.88M
BLUA,BlueRiver Acquisition,Blank Check / SPAC,260.65M
BLUE,Bluebird Bio,Biotechnology,737.18M
BLX,Banco Latinoamericano,Diversified Financial Services,676.31M
BLZE,Backblaze,Software,730.37M
BMA,Banco Macro,Banks,907.65M
BMBL,Bumble,Software-Application,6.36B
BMEA,Biomea Fusion,Biotechnology,317.46M
BMI,Badger Meter,"Electronic Equipment, Instruments & C...",3.19B
BMO,Bank of Montreal,Banks,71.39B
BMRA,Biomerica,Health Care Equipment & Supplies,60.50M
BMRC,Bank of Marin Bancorp,Banks,600.66M
BMRN,BioMarin Pharmaceutical,Biotechnology,16.53B
BMTC,Bryn Mawr Bank,Banks,979.75M
BMTX,BM Technologies,Software-Application,153.87M
BMY,Bristol-Myers Squibb,Pharmaceuticals,128.34B
BNED,Barnes & Noble Education,Specialty Retail,494.21M
BNFT,Benefitfocus,Software,337.98M
BNGO,BioNano Genomics,Life Sciences Tools & Services,1.21B
BNIX,Bannix Acquisition,Blank Check / SPAC,69.22M
BNL,Broadstone Net Lease,"Equity Real Estate 
Investment Trusts...",4.23B
BNNR,Banner Acquisition,Blank Check / SPAC,183.94M
BNR,Burning Rock Biotech,Diagnostics & Research,1.55B
BNS,Bank of Nova Scotia,Banks,79.91B
BNSO,Bonso Electronics International,"Electronic Equipment, Instruments & C...",23.31M
BNTC,Benitec Biopharma,Biotechnology,25.00M
BNTX,BioNTech SE,Biotechnology,73.63B
BOAC,Bluescape Opportunities Acquisition,Blank Check / SPAC,747.98M
BOAS,BOA Acquisition,Blank Check / SPAC,280.31M
BODY,Beachbody,Internet Content & Information,823.18M
BOH,Bank of Hawaii,Banks,3.50B
BOKF,BOK Financial,Banks,7.46B
BOLT,Bolt Biotherapeutics,Biotechnology,296.79M
BOMN,Boston Omaha,Media,916.47M
BON,Bon Natural Life,Packaged Foods,39.32M
BOOM,DMC Global,Energy Equipment & Services,735.32M
BOOT,Boot Barn Holdings,Specialty Retail,3.74B
BORR,Borr Drilling,Oil & Gas Drilling,315.01M
BOSC,BOS Better Online Solutions,Communications Equipment,17.19M
BOTJ,Bank of the James Financial,Banks,78.25M
BOX,"Box, Inc.",Software,3.58B
BOXL,Boxlight,"Technology Hardware, Storage & Periph...",102.40M
BP,BP plc,"Oil, Gas & Consumable Fuels",91.12B
BPMC,Blueprint Medicines,Biotechnology,6.08B
BPMP,BP Midstream Partners,"Oil, Gas & Consumable Fuels",1.35B
BPOP,Popular,Banks,6.77B
BPRN,Bank of Princeton,Banks,198.66M
BPT,BP Prudhoe Bay Royalty Trust,"Oil, Gas & Consumable Fuels",86.67M
BPTH,Bio-Path Holdings,Biotechnology,30.79M
BPTS,Biophytis,Biotechnology,64.11M
BQ,Boqii Holding,Specialty Retail,146.90M
BR,Broadridge Financial Solutions,IT Services,20.04B
BRAG,Bragg Gaming Group,Electronic Gaming & Multimedia,128.00M
BRBR,Bellring Brands,Personal Products,982.23M
BRBS,Blue Ridge Bankshares,Banks,346.02M
BRC,Brady Corporation,Commercial Services & Supplies,2.66B
BRCN,Burcon NutraScience,Packaged Foods,139.26M
BRDG,Bridge Investment Group,REIT-Diversified,541.22M
BRDS,Bird Global,Rental & Leasing Services,231.85M
BREZ,Breeze Holdings Acquisition,Blank Check / SPAC,149.04M
BRFS,BRF S.A.,Food Products,3.06B
BRG,Bluerock Residential Growth REIT,"Equity Real Estate 
Investment Trusts...",410.49M
BRID,Bridgford Foods,Food Products,107.74M
BRIV,B. Riley Principal 250 Merger,Blank Check / SPAC,209.87M
BRK.A,Berkshire Hathaway,Diversified Financial Services,643.35B
BRK.B,Berkshire Hathaway,Diversified Financial Services,644.60B
BRKL,Brookline Bancorp,Banks,1.30B
BRKR,Bruker,Life Sciences Tools & Services,11.77B
BRKS,Brooks Automation,Semiconductors & Semiconductor Equipment,8.53B
BRLI,Brilliant Acquisition,Blank Check / SPAC,62.15M
BRLT,Brilliant Earth Group,Luxury Goods,152.09M
BRMK,Broadmark Realty Capital,"Mortgage Real Estate Investment 
Trus...",1.30B
BRN,Barnwell Industries,"Oil, Gas & Consumable Fuels",23.52M
BRO,Brown & Brown,Insurance,18.42B
BROG,Brooge Energy,"Oil, Gas & Consumable Fuels",983.00M
BROS,Dutch Bros,Restaurants,2.61B
BRP,BRP Group,Insurance,4.20B
BRPM,B. Riley Principal 150 Merger,Blank Check / SPAC,229.88M
BRQS,Borqs Technologies,"Technology Hardware, Storage & Periph...",72.61M
BRSP,BrightSpire Capital,REIT-Diversified,1.28B
BRT,BRT Apartments,"Equity Real Estate 
Investment Trusts...",351.05M
BRTX,Biorestorative Therapies,Biotechnology,5.06M
BRX,Brixmor Property Group,"Equity Real Estate 
Investment Trusts...",7.45B
BRY,Berry Corporation,"Oil, Gas & Consumable Fuels",743.27M
BRZE,Braze,Software,7.24B
BSAC,Banco Santander-Chile,Banks,9.43B
BSAQ,Black Spade Acquisition,Blank Check / SPAC,182.25M
BSBK,Bogota Financial,Thrifts & Mortgage Finance,148.95M
BSBR,Banco Santander Brasil,Banks,44.99B
BSET,Bassett Furniture Industries,Household Durables,168.78M
BSFC,Blue Star Foods,Packaged Foods,65.65M
BSGA,Blue Safari Group Acquisition,Blank Check / SPAC,77.86M
BSGM,BioSig Technologies,Health Care Equipment & Supplies,101.63M
BSIG,BrightSphere Investment Group,Capital Markets,2.44B
BSKY,Big Sky Growth Partners,Blank Check / SPAC,365.25M
BSM,Black Stone Minerals,"Oil, Gas & Consumable Fuels",2.45B
BSMX,Banco Santander Mexico,Banks,8.38B
BSN,Broadstone Acquisition,Blank Check / SPAC,379.72M
BSQR,Bsquare Corporation,Software,40.10M
BSRR,Sierra Bancorp,Banks,416.25M
BSVN,Bank7 Corp.,Banks,230.87M
BSX,Boston Scientific,Health Care Equipment & Supplies,56.94B
BSY,Bentley Systems,Software-Application,14.45B
BTAI,BioXcel Therapeutics,Biotechnology,656.61M
BTAQ,Burgundy Technology Acquisition,Blank Check / SPAC,441.04M
BTB,Bit Brother,Restaurants,31.13M
